Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,Project Z Application\Project Z Application (Windows).vbproj,File,Project Z Application\Project Z Application (Windows).vbproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Project Z Application\Project Z Application (Windows).vbproj,File,Project Z Application\Project Z Application (Windows).vbproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net8.0-windows"
